基隆市,仁愛區,仁愛區,TRUE,1
基隆市,信義區,信義區,TRUE,2
基隆市,中正區,中正區,TRUE,3
基隆市,中山區,中山區,TRUE,4
基隆市,安樂區,安樂區,TRUE,5
基隆市,暖暖區,暖暖區,TRUE,6
基隆市,七堵區,七堵區,TRUE,7
臺北市,中正區,中正區,TRUE,1
臺北市,大同區,大同區,TRUE,2
臺北市,中山區,中山區,TRUE,3
臺北市,松山區,松山區,TRUE,4
臺北市,大安區,大安區,TRUE,5
臺北市,萬華區,萬華區,TRUE,6
臺北市,信義區,信義區,TRUE,7
臺北市,士林區,士林區,TRUE,8
臺北市,北投區,北投區,TRUE,9
臺北市,內湖區,內湖區,TRUE,10
臺北市,南港區,南港區,TRUE,11
臺北市,文山區,文山區,TRUE,12
新北市,萬里區,萬里區,TRUE,1
新北市,金山區,金山區,TRUE,2
新北市,板橋區,板橋區,TRUE,3
新北市,汐止區,汐止區,TRUE,4
新北市,深坑區,深坑區,TRUE,5
新北市,石碇區,石碇區,TRUE,6
新北市,瑞芳區,瑞芳區,TRUE,7
新北市,平溪區,平溪區,TRUE,8
新北市,雙溪區,雙溪區,TRUE,9
新北市,貢寮區,貢寮區,TRUE,10
新北市,新店區,新店區,TRUE,11
新北市,坪林區,坪林區,TRUE,12
新北市,烏來區,烏來區,TRUE,13
新北市,永和區,永和區,TRUE,14
新北市,中和區,中和區,TRUE,15
新北市,土城區,土城區,TRUE,16
新北市,三峽區,三峽區,TRUE,17
新北市,樹林區,樹林區,TRUE,18
新北市,鶯歌區,鶯歌區,TRUE,19
新北市,三重區,三重區,TRUE,20
新北市,新莊區,新莊區,TRUE,21
新北市,泰山區,泰山區,TRUE,22
新北市,林口區,林口區,TRUE,23
新北市,蘆洲區,蘆洲區,TRUE,24
新北市,五股區,五股區,TRUE,25
新北市,八里區,八里區,TRUE,26
新北市,淡水區,淡水區,TRUE,27
新北市,三芝區,三芝區,TRUE,28
新北市,石門區,石門區,TRUE,29
桃園市,中壢區,中壢區,TRUE,1
桃園市,平鎮區,平鎮區,TRUE,2
桃園市,龍潭區,龍潭區,TRUE,3
桃園市,楊梅區,楊梅區,TRUE,4
桃園市,新屋區,新屋區,TRUE,5
桃園市,觀音區,觀音區,TRUE,6
桃園市,桃園區,桃園區,TRUE,7
桃園市,龜山區,龜山區,TRUE,8
桃園市,八德區,八德區,TRUE,9
桃園市,大溪區,大溪區,TRUE,10
桃園市,復興區,復興區,TRUE,11
桃園市,大園區,大園區,TRUE,12
桃園市,蘆竹區,蘆竹區,TRUE,13
新竹市,東區,東區,TRUE,1
新竹市,北區,北區,TRUE,2
新竹市,香山區,香山區,TRUE,3
新竹縣,竹北市,竹北市,TRUE,1
新竹縣,湖口鄉,湖口鄉,TRUE,2
新竹縣,新豐鄉,新豐鄉,TRUE,3
新竹縣,新埔鎮,新埔鎮,TRUE,4
新竹縣,關西鎮,關西鎮,TRUE,5
新竹縣,芎林鄉,芎林鄉,TRUE,6
新竹縣,寶山鄉,寶山鄉,TRUE,7
新竹縣,竹東鎮,竹東鎮,TRUE,8
新竹縣,五峰鄉,五峰鄉,TRUE,9
新竹縣,橫山鄉,橫山鄉,TRUE,10
新竹縣,尖石鄉,尖石鄉,TRUE,11
新竹縣,北埔鄉,北埔鄉,TRUE,12
新竹縣,峨眉鄉,峨眉鄉,TRUE,13
苗栗縣,竹南鎮,竹南鎮,TRUE,1
苗栗縣,頭份市,頭份市,TRUE,2
